,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
199,Ivan,"October 4 – 11, 1980",105,970,No land areas,0,None,October 4 – 11,1980,October
200,Jeanne,"November 8 – 16, 1980",100,986,"Florida, Gulf of Mexico, Gulf Coast of the United States",0,Minimal,November 8 – 16,1980,November
201,Gert,"September 7 – 15, 1981",105,988,Puerto Rico,0,None,September 7 – 15,1981,September
202,Josephine,"October 7 – 18, 1984",105,965,East Coast of the United States,1,Minor,October 7 – 18,1984,October
203,Earl,"September 10 – 18, 1986",105,979,No land areas,0,None,September 10 – 18,1986,September
204,Dean,"July 31 – August 9, 1989",105,968,"Leeward Islands, Bermuda, North Carolina, Newfoundland",0,$8.9 million,July 31 – August 9,1989,July
205,Erin,"August 18 – 27, 1989",105,968,Cape Verde,0,None,August 18 – 27,1989,August
206,Diana,"August 4 – 9, 1990",100,980,"Costa Rica, Nicaragua, Honduras, Belize, Yucatán Peninsula, Mainland Mexico",139,$90.7 million,August 4 – 9,1990,August
207,Isidore,"September 4 – 17, 1990",100,978,No land areas,0,None,September 4 – 17,1990,September
208,Grace,"October 25 – 29, 1991",105,980,No land areas,0,None,October 25 – 29,1991,October
209,Bonnie,"September 17 – 30, 1992",110,965,Azores,1,Minimal,September 17 – 30,1992,September
210,Charley,"September 21 – 27, 1992",110,965,Azores,0,None,September 21 – 27,1992,September
211,Gert,"September 14 – 21, 1993",100,970,"Nicaragua, Belize, Mexico",116,$170 million,September 14 – 21,1993,September
212,Florence,"November 2 – 8, 1994",110,972,No land areas,0,None,November 2 – 8,1994,November
213,Erin,"July 31 – August 6, 1995",100,973,"Florida, Mid-Atlantic States, New England",13,$700 million,July 31 – August 6,1995,July
214,Humberto,"August 21 – September 1, 1995",110,968,No land areas,0,None,August 21 – September 1,1995,August
215,Iris,"August 22 – September 4, 1995",110,965,"Antigua, Montserrat, Barbuda",5,Unknown,August 22 – September 4,1995,August
216,Danielle,"August 24 – September 3, 1998",105,960,"Puerto Rico, East Coast of the United States, Atlantic Canada, United Kingdom",0,$50 thousand,August 24 – September 3,1998,August
217,Earl,"August 31 – September 3, 1998",100,985,"Mexico, Florida",3,$79 million,August 31 – September 3,1998,August
218,Jeanne,"September 21 – October 1, 1998",105,969,No land areas,0,None,September 21 – October 1,1998,September
219,Karl,"September 23 – 28, 1998",105,970,No land areas,0,None,September 23 – 28,1998,September
220,Dennis,"August 24 – September 7, 1999",105,962,"North Carolina, Mid-Atlantic states, Canada",4,$157 million,August 24 – September 7,1999,August
221,Irene,"October 12 – 19, 1999",110,958,"Cuba, Florida, South Carolina, North Carolina",18,$800 million,October 12 – 19,1999,October
222,Jose,"October 17 – 25, 1999",100,979,"Lesser Antilles, Puerto Rico",3,$5 million,October 17 – 25,1999,October
223,Michael,"October 15 – 20, 2000",110,965,"Bermuda, Maine, Atlantic Canada",0,Minimal,October 15 – 20,2000,October
224,Humberto,"September 21 – 27, 2001",105,970,Bermuda,0,Minimal,September 21 – 27,2001,September
225,Gustav,"September 8 – 12, 2002",100,960,"North Carolina, Virginia, New Jersey",4,$340 thousand,September 8 – 12,2002,September
226,Juan,"September 24 – 29, 2003",110,969,"Nova Scotia, Prince Edward Island",8,$200 million,September 24 – 29,2003,September
227,Danielle,"August 13 – 21, 2004",110,964,Cape Verde,0,None,August 13 – 21,2004,August
228,Irene,"August 4 – 18, 2005",105,970,East Coast of the United States,1,None,August 4 – 18,2005,August
229,Dolly,"July 20 – 27, 2008",100,963,"Guatemala, Yucatán Peninsula, Northeastern Mexico, South Central United States",26,$1.6 billion,July 20 – 27,2008,July
230,Ida,"November 1 – 10, 2009",105,975,"Nicaragua, Cayman Islands, Yucatán Peninsula, Cuba, Alabama, Georgia, South Carolina",4,$11.4 million,November 1 – 10,2009,November
231,Alex,"June 25 – July 2, 2010",110,946,"Greater Antilles, Belize, Yucatán Peninsula, Northern Mexico, South Texas",52,$1.52 billion,June 25 – July 2,2010,June
232,Paula,"October 11 – 15, 2010",105,981,"Nicaragua, Honduras, Mexico, Cuba, Bahamas, Florida",1,Unknown,October 11 – 15,2010,October
233,Richard,"October 20 – 26, 2010",100,977,"Honduras, Belize, Guatemala, Mexico",2,$80 million,October 20 – 26,2010,October
234,Tomas,"October 29 – November 7, 2010",100,982,"Windward Islands, Leeward Antilles, Greater Antilles, Lucayan Archipelago",51,$463.4 million,October 29 – November 7,2010,October
235,Ernesto,"August 1 – 10, 2012",100,973,"Windward Islands, Jamaica, Central America, Mexico",12,$252.2 million,August 1 – 10,2012,August
236,Gordon,"August 15 – 20, 2012",110,965,Azores,0,None,August 15 – 20,2012,August
237,Kirk,"August 28 – September 4, 2012",105,970,No land areas,0,None,August 28 – September 4,2012,August
238,Arthur,"July 1 – 5, 2014",100,973,"Bahamas, North Carolina, Nova Scotia",1,$28.6 million,July 1 – 5,2014,July
239,Gert,"August 12 – 17, 2017",110,962,"Bermuda, East Coast of the United States, Atlantic Canada",2,None,August 12 – 17,2017,August
240,Katia,"September 5 – 9, 2017",105,972,Mexico,3,$3.26 million,September 5 – 9,2017,September
241,Chris,"July 6 – 12, 2018",105,969,"Bermuda, Iceland",1,Minimal,July 6 – 12,2018,July
242,Helene,"September 7 – 16, 2018",110,967,"West Africa, Cape Verde, Azores, Ireland, United Kingdom, Norway",3,Minimal,September 7 – 16,2018,September
243,Oscar,"October 26 – 31, 2018",110,966,Faroe Islands,0,None,October 26 – 31,2018,October
244,Jerry,"September 17 – 24, 2019",105,976,"Leeward Islands, Puerto Rico, Bermuda",0,None,September 17 – 24,2019,September
245,Paulette,"September 7 – 23, 2020",105,965,Bermuda,1,$50 million,September 7 – 23,2020,September
246,Sally,"September 11 – 17, 2020",110,965,"The Bahamas, Florida, Cuba, Gulf Coast of the United States",8,$7.3 billion,September 11 – 17,2020,September
