,Name,Category,DateImpact,Year,Landfall
259,Unnamed,1,4-Oct,1869,Massachusetts
260,Unnamed,1,19-Aug,1879,Massachusetts
261,Unnamed,1,10-Sep,1896,Massachusetts
262,Unnamed,1,26-Aug,1924,Massachusetts
264,Unnamed,1,15-Sep,1944,Massachusetts
267,Donna,1,12-Sep,1960,Massachusetts
273,Unnamed,1,20-Aug,1888,Mississippi
275,Unnamed,1,15-Aug,1901,Mississippi
280,Unnamed,1,16-Oct,1923,Mississippi
281,Unnamed,1,21-Sep,1926,Mississippi
283,Ethel,1,15-Sep,1960,Mississippi
289,Nate,1,8-Oct,2017,Mississippi
291,Gloria,1,27-Sep,1985,New Hampshire
292,Unnamed,1,23-Oct,1878,New Jersey
293,Unnamed,1,16-Sep,1903,New Jersey
294,Unnamed,1,8-Sep,1934,New Jersey
295,Unnamed,1,14-Sep,1944,New Jersey
296,Unnamed,1,16-Sep,1858,New York
297,Unnamed,1,8-Sep,1869,New York
298,Unnamed,1,24-Aug,1893,New York
299,Unnamed,1,10-Oct,1894,New York
300,Unnamed,1,8-Sep,1934,New York
304,Edna,1,11-Sep,1954,New York
306,Agnes,1,22-Jun,1972,New York
307,Belle,1,10-Aug,1976,New York
308,Gloria,1,27-Sep,1985,New York
310,Sandy,1,29-Oct,2012,New York
311,Unnamed,1,13-Sep,1857,North Carolina
312,Unnamed,1,27-Sep,1861,North Carolina
313,Unnamed,1,2-Nov,1861,North Carolina
314,Unnamed,1,24-Sep,1874,North Carolina
315,Unnamed,1,17-Sep,1876,North Carolina
318,Unnamed,1,9-Sep,1880,North Carolina
322,Unnamed,1,20-Aug,1887,North Carolina
323,Unnamed,1,28-Aug,1893,North Carolina
324,Unnamed,1,13-Oct,1893,North Carolina
325,Unnamed,1,29-Sep,1896,North Carolina
328,Unnamed,1,11-Jul,1901,North Carolina
329,Unnamed,1,17-Sep,1906,North Carolina
330,Unnamed,1,31-Jul,1908,North Carolina
331,Unnamed,1,3-Sep,1913,North Carolina
332,Unnamed,1,24-Aug,1918,North Carolina
333,Unnamed,1,26-Aug,1924,North Carolina
334,Unnamed,1,23-Aug,1933,North Carolina
336,Unnamed,1,9-Sep,1934,North Carolina
337,Unnamed,1,18-Sep,1936,North Carolina
338,Unnamed,1,1-Aug,1944,North Carolina
340,Unnamed,1,24-Aug,1949,North Carolina
341,Barbara,1,14-Aug,1953,North Carolina
342,Carol,1,31-Aug,1954,North Carolina
343,Edna,1,11-Sep,1954,North Carolina
349,Ginger,1,30-Sep,1971,North Carolina
352,Charley,1,17-Aug,1986,North Carolina
353,Hugo,1,22-Sep,1989,North Carolina
361,Alex,1,3-Aug,2004,North Carolina
362,Charley,1,14-Aug,2004,North Carolina
363,Ophelia,1,14-Sep,2005,North Carolina
364,Irene,1,27-Aug,2011,North Carolina
366,Matthew,1,8-Oct,2016,North Carolina
367,Florence,1,14-Sep,2018,North Carolina
369,Isaias,1,4-Aug,2020,North Carolina
370,Unnamed,1,16-Sep,1858,Rhode Island
371,Unnamed,1,8-Sep,1869,Rhode Island
372,Unnamed,1,10-Oct,1894,Rhode Island
373,Unnamed,1,10-Sep,1896,Rhode Island
377,Edna,1,11-Sep,1954,Rhode Island
378,Donna,1,12-Sep,1960,Rhode Island
381,Unnamed,1,22-Jun,1867,South Carolina
382,Unnamed,1,28-Sep,1874,South Carolina
383,Unnamed,1,12-Sep,1878,South Carolina
384,Unnamed,1,28-Aug,1881,South Carolina
385,Unnamed,1,11-Sep,1883,South Carolina
389,Unnamed,1,27-Sep,1894,South Carolina
390,Unnamed,1,29-Sep,1896,South Carolina
391,Unnamed,1,31-Aug,1898,South Carolina
393,Unnamed,1,14-Sep,1904,South Carolina
394,Unnamed,1,17-Sep,1906,South Carolina
396,Unnamed,1,8-Oct,1913,South Carolina
398,Unnamed,1,18-Sep,1928,South Carolina
403,Cindy,1,9-Jul,1959,South Carolina
406,Bob,1,25-Jul,1985,South Carolina
408,Charley,1,14-Aug,2004,South Carolina
409,Gaston,1,29-Aug,2004,South Carolina
410,Matthew,1,8-Oct,2016,South Carolina
411,Isaias,1,4-Aug,2020,South Carolina
412,Unnamed,1,25-Jun,1851,Texas
413,Unnamed,1,26-Jun,1854,Texas
415,Unnamed,1,13-Sep,1865,Texas
417,Unnamed,1,2-Oct,1867,Texas
424,Unnamed,1,23-Sep,1886,Texas
427,Unnamed,1,17-Jun,1888,Texas
428,Unnamed,1,5-Jul,1891,Texas
429,Unnamed,1,30-Aug,1895,Texas
430,Unnamed,1,13-Sep,1897,Texas
434,Unnamed,1,27-Aug,1909,Texas
437,Unnamed,1,27-Jun,1913,Texas
440,Unnamed,1,7-Aug,1918,Texas
442,Unnamed,1,22-Jun,1921,Texas
443,Unnamed,1,28-Jun,1929,Texas
448,Unnamed,1,27-Jun,1936,Texas
451,Unnamed,1,21-Aug,1942,Texas
455,Unnamed,1,24-Aug,1947,Texas
458,Debra,1,25-Jul,1959,Texas
462,Fern,1,10-Sep,1971,Texas
465,Bonnie,1,28-Jun,1986,Texas
466,Chantal,1,1-Aug,1989,Texas
467,Jerry,1,16-Oct,1989,Texas
469,Claudette,1,15-Jul,2003,Texas
471,Humberto,1,13-Sep,2007,Texas
472,Dolly,1,23-Jul,2008,Texas
475,Hanna,1,25-Jul,2020,Texas
476,Laura,1,27-Aug,2020,Texas
477,Nicholas,1,14-Sep,2021,Texas
478,Unnamed,1,17-Sep,1876,Virginia
479,Unnamed,1,23-Oct,1878,Virginia
481,Unnamed,1,13-Oct,1893,Virginia
482,Unnamed,1,29-Sep,1894,Virginia
483,Unnamed,1,30-Sep,1896,Virginia
484,Unnamed,1,16-Sep,1933,Virginia
485,Unnamed,1,18-Sep,1936,Virginia
487,Connie,1,12-Aug,1955,Virginia
488,Donna,1,12-Sep,1960,Virginia
489,Isabel,1,19-Sep,2003,Virginia
3,Unnamed,2,12-Aug,1860,Alabama
7,Unnamed,2,3-Oct,1893,Alabama
9,Unnamed,2,27-Sep,1906,Alabama
11,Unnamed,2,5-Jul,1916,Alabama
12,Unnamed,2,18-Oct,1916,Alabama
27,Sally,2,16-Sep,2020,Alabama
38,Bob,2,19-Aug,1991,Conneticut
44,Unnamed,2,9-Oct,1852,Florida
46,Unnamed,2,31-Aug,1856,Florida
50,Unnamed,2,23-Oct,1865,Florida
55,Unnamed,2,25-Aug,1871,Florida
60,Unnamed,2,20-Oct,1876,Florida
63,Unnamed,2,10-Sep,1878,Florida
64,Unnamed,2,29-Aug,1880,Florida
69,Unnamed,2,21-Jun,1886,Florida
70,Unnamed,2,30-Jun,1886,Florida
74,Unnamed,2,11-Oct,1888,Florida
77,Unnamed,2,25-Sep,1894,Florida
79,Unnamed,2,7-Jul,1896,Florida
82,Unnamed,2,2-Oct,1898,Florida
83,Unnamed,2,1-Aug,1899,Florida
88,Unnamed,2,27-Sep,1906,Florida
