Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted),,,
Name,Disaster,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,4333.9,3
Rockies/Central/East Severe Weather (June 2010),Severe Storm,1171.3,2
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,1233,0
Arizona Severe Weather (October 2010),Severe Storm,4940,0
Groundhog Day Blizzard (February 2011),Winter Storm,2314.5,36
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,3496.8,9
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2745.9,0
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2594.7,38
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,1307.3,0
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,12879.8,321
Midwest/Southeast Tornadoes (May 2011),Severe Storm,11461.8,177
Mississippi River flooding (April-May 2011),Flooding,3851.9,7
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,1937.1,3
Missouri River flooding (May-June 2011),Flooding,2583.1,5
North Central Severe Weather (July 2011),Severe Storm,1118.9,0
Rockies and Midwest Derecho (July 2011),Severe Storm,1556.3,2
Midwest/Southeast Severe Weather (August 2011),Severe Storm,1439.3,0
Hurricane Isaias (August 2020),Tropical Cyclone,5185.2,16
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,15434.9,95
Tropical Storm Lee (September 2011),Tropical Cyclone,3140.9,21
Northeastern Winter Storm (October 2011),Winter Storm,1156.4,1
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2294.1,5
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,3879.7,42
Texas Tornadoes (April 2012),Severe Storm,1248.8,0
Midwest Tornadoes (April 2012),Severe Storm,1382,6
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,4029.8,1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2833.6,1
Rockies/Southwest Severe Weather (June 2012),Severe Storm,3221.3,0
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,3581.6,28
Hurricane Dennis (July 2005),Tropical Cyclone,3617.8,15
Hurricane Marilyn (September 1995),Tropical Cyclone,3885,13
