,Name,Duration,Sustainedwind speeds,Pressure,Areas affected,Deaths,Damage(USD),Month,Year,Month_only
150,Fifteen,"September 24 – 27, 1933",75,991,Azores,0,,September 24 – 27,1933,September
151,Eighteen,"October 25 – November 7, 1933",90,982,"Cuba, The Bahamas",23,$3 million,October 25 – November 7,1933,October
152,Two,"July 12 – 16, 1934",90,980,"Bermuda, Newfoundland and Labrador",0,,July 12 – 16,1934,July
153,Three,"July 22 – 26, 1934",85,975,Gulf Coast of the United States,Unknown,,July 22 – 26,1934,July
154,Five,"August 26 – September 1, 1934",80,989,Gulf Coast of the United States,Unknown,,August 26 – September 1,1934,August
155,1935 Jérémie hurricane,"October 18 – 27, 1935",85,988,"Central America, Jamaica, Cuba, Haiti",2150,,October 18 – 27,1935,October
156,Three,"June 26 – 28, 1936",80,987,Texas,Unknown,$550 thousand,June 26 – 28,1936,June
157,Eight,"August 15 – 20, 1936",75,999,"Yucatán Peninsula, Tamaulipas",0,,August 15 – 20,1936,August
158,Eleven,"August 28 – 30, 1936",80,"1,000","Yucatán Peninsula, Veracruz",0,,August 28 – 30,1936,August
159,Eleven,"October 19 – 21, 1937",80,995,None,0,,October 19 – 21,1937,October
160,Two,"August 7 – 19, 1939",75,985,"Puerto Rico, Turks and Caicos Islands, The Bahamas, Eastern United States",0,$2 thousand,August 7 – 19,1939,August
161,Six,"October 28 – November 6, 1939",90,989,"Honduras, Cayman Islands, Jamaica, Cuba, Turks and Caicos Islands, Bermuda",2,,October 28 – November 6,1939,October
162,Eight,"October 20 – 24, 1940",80,983,Nicaragua,0,,October 20 – 24,1940,October
163,Three,"September 18 – 25, 1941",80,978,None,0,,September 18 – 25,1941,September
164,Two,"August 17 – 23, 1942",80,992,Texas,0,$790 thousand,August 17 – 23,1942,August
165,One,"July 13 – 18, 1944",80,995,Bermuda,0,,July 13 – 18,1944,July
166,Three,"July 30 – August 4, 1944",80,985,"North Carolina, Mid-Atlantic states",0,$2 million,July 30 – August 4,1944,July
167,Eight,"September 19 – 22, 1944",80,996,Mexico,Unknown,,September 19 – 22,1944,September
168,Twelve,"October 11 – 15, 1944",80,998,None,0,,October 11 – 15,1944,October
169,Ten,"October 2 – 7, 1945",90,982,"Belize, Guatemala, Honduras, Mexico",1,,October 2 – 7,1945,October
170,Two,"July 5 – 9, 1946",80,"1,005",North Carolina,0,,July 5 – 9,1946,July
171,Three,"August 18 – 27, 1947",80,984,"Cuba, Louisiana, Texas",1,$800 thousand,August 18 – 27,1947,August
172,Five,"September 1 – 7, 1948",80,983,"Louisiana, Mississippi, Midwestern United States",0,$900 thousand,September 1 – 7,1948,September
173,Ten,"November 8 – 11, 1948",75,990,None,0,,November 8 – 11,1948,November
174,Ten,"September 20 – 22, 1949",80,"1,003","Saint Croix, Puerto Rico, Dominican Republic",15,$1.012 million,September 20 – 22,1949,September
175,Thirteen,"October 13 – 19, 1949",90,981,"Cuba, The Bahamas",0,,October 13 – 19,1949,October
176,Love,"October 18 – 22, 1950",80,987,"Georgia, Louisiana, Southwestern Florida",0,,October 18 – 22,1950,October
177,Able,"May 15 – 23, 1951",90,973,"Florida, Bahamas, North Carolina, South Carolina, Virginia",0,,May 15 – 23,1951,May
178,Dog,"August 27 – September 5, 1951",90,992,"Martinique, Saint Lucia, Hispaniola, Jamaica",7,$3 million,August 27 – September 5,1951,August
179,Jig,"October 15 – 17, 1951",75,990,"North Carolina, Virginia",0,,October 15 – 17,1951,October
180,Twelve,"September 2 – 11, 1951",80,995,None,0,,September 2 – 11,1951,September
181,Barbara,"August 11 – 15, 1953",90,973,"East Coast of the United States, Atlantic Canada",9,$1.3 million,August 11 – 15,1953,August
182,Dolly,"September 8 – 12, 1953",75,989,"Virgin Islands, Puerto Rico, The Bahamas, Bermuda",0,,September 8 – 12,1953,September
183,Gail,"October 2 – 12, 1953",80,986,None,0,,October 2 – 12,1953,October
184,Hazel,"October 7 – 10, 1953",85,980,"Florida, Sable Island",0,$250 thousand,October 7 – 10,1953,October
185,Dolly,"August 31 – September 2, 1954",85,994,None,0,,August 31 – September 2,1954,August
186,Alice,"December 30, 1954 – January 6, 1955",90,980,"Saba, Anguilla, Lesser Antilles",0,$623 thousand,December 30,"1954 – January 6, 1955",December
187,Gladys,"September 3 – 6, 1955",90,996,"Western Mexico, Yucatán Peninsula",0,$500 thousand,September 3 – 6,1955,September
188,Anna,"July 25 – 27, 1956",85,991,Mexico,0,$50 thousand,July 25 – 27,1956,July
189,Flossy,"September 20 – 25, 1956",90,974,"Yucatán Peninsula, Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia",15,$24.9 million,September 20 – 25,1956,September
190,Frieda,"September 20 – 26, 1957",85,975,"Bermuda, Newfoundland",0,,September 20 – 26,1957,September
191,Fifi,"September 4 – 11, 1958",85,"1,000",None,0,,September 4 – 11,1958,September
192,Escuminac (Three),"June 18 – 19, 1959",85,974,"Florida, Atlantic Canada",35,$2.5 million,June 18 – 19,1959,June
193,Cindy,"July 4 – 11, 1959",75,996,"The Carolinas, Mid-Atlantic states, New England, Canadian Maritime Provinces",6,$75 thousand,July 4 – 11,1959,July
194,Debra,"July 22 – 27, 1959",85,984,"Texas, Oklahoma, Gulf Coast of the United States, Midwestern United States",0,$7 million,July 22 – 27,1959,July
195,Flora,"September 9 – 12, 1959",75,994,None,0,,September 9 – 12,1959,September
196,Judith,"October 14 – 22, 1959",85,988,Florida,0,,October 14 – 22,1959,October
197,Abby,"July 9 – 17, 1960",80,995,"Lesser Antilles, Puerto Rico, Leeward Antilles, Hispaniola, Jamaica, Nicaragua, Honduras, Belize, Guatemala, Mexico",6,$640 thousand,July 9 – 17,1960,July
198,Cleo,"August 17 – 21, 1960",85,995,"Greater Antilles, The Bahamas, Northeastern United States, Nova Scotia",0,,August 17 – 21,1960,August
199,Debbie,"September 6 – 16, 1961",90,975,"Cape Verde, Azores, Ireland, United Kingdom, Norway, Soviet Union",78,$50 million,September 6 – 16,1961,September
200,Jenny,"November 1 – 10, 1961",80,974,"Puerto Rico, Leeward Islands",0,,November 1 – 10,1961,November
201,Alma,"August 26 – 30, 1962",85,984,"Puerto Rico, East Coast of the United States",1,$1 million,August 26 – 30,1962,August
202,Ten,"November 28 – December 4, 1962",90,988,East Coast of the United States,0,,November 28 – December 4,1962,November
